codes,900,910,920,930,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,7330,7331,7332,7333,7334,7335,7336,7361,7362,7390,7290,7300,7310,7320,7350,7360,7380
900,0,15,15,15,15,17,17,21,21,32,32,45,45,55,55,63,63,72,72,92,92,107,107,122,122,29,29,38,38,49,49,49,49,25,25,52,52,39,39,25,25,15
910,15,0,15,15,15,15,15,19,19,30,30,44,44,54,54,61,61,70,70,91,91,105,105,121,121,27,27,36,36,47,47,47,47,23,23,50,50,37,37,23,23,15
920,15,15,0,15,15,15,15,15,22,22,36,36,46,46,54,54,60,60,78,78,93,93,107,107,120,120,28,28,35,35,43,43,19,19,15,15,41,41,29,29,15,15
930,15,15,15,0,15,15,15,15,19,19,33,33,43,43,51,51,57,57,75,75,89,89,104,104,116,116,32,32,39,39,47,47,22,22,15,15,45,45,32,32,16,16
940,15,15,15,15,0,15,15,15,15,19,19,33,33,43,43,50,50,59,59,80,80,94,94,110,110,31,31,40,40,51,51,51,51,27,27,54,54,41,41,27,27,15
950,17,15,15,15,15,0,15,15,15,15,15,28,28,38,38,46,46,55,55,75,75,90,90,105,105,35,35,44,44,55,55,55,55,32,32,58,58,45,45,31,31,17
960,17,15,15,15,15,15,0,17,15,15,22,22,33,33,41,41,46,46,65,65,79,79,93,93,106,106,42,42,49,49,57,57,33,33,16,16,55,55,42,42,27,27
970,21,19,15,15,15,15,17,0,15,15,20,20,31,31,38,38,44,44,62,62,77,77,91,91,104,104,44,44,51,51,59,59,35,35,18,18,57,57,45,45,29,29
980,21,19,22,19,15,15,15,15,0,15,15,18,18,28,28,35,35,44,44,65,65,79,79,95,95,46,46,55,55,66,66,66,66,42,42,69,69,56,56,42,42,28
990,32,30,22,19,19,15,15,15,15,0,28,15,15,24,24,31,31,40,40,60,60,75,75,91,91,50,50,59,59,70,70,70,70,47,47,73,73,60,60,46,46,32
1000,32,30,36,33,19,15,22,20,15,28,0,32,15,15,18,18,24,24,42,42,57,57,71,71,84,84,64,64,71,71,79,79,55,55,38,38,77,77,65,65,49,49
1010,45,44,36,33,33,28,22,20,18,15,32,0,15,15,15,15,20,20,38,38,53,53,67,67,80,80,68,68,75,75,83,83,59,59,42,42,81,81,69,69,53,53
1020,45,44,46,43,33,28,33,31,18,15,15,15,0,15,15,15,15,20,20,41,41,55,55,71,71,70,70,79,79,90,90,90,90,66,66,93,93,80,80,66,66,52
1030,55,54,46,43,43,38,33,31,28,24,15,15,15,0,52,15,15,16,16,37,37,51,51,67,67,73,73,82,82,93,93,93,93,70,70,97,97,84,84,70,70,56
1040,55,54,54,51,43,38,41,38,28,24,18,15,15,52,0,56,15,15,24,24,39,39,53,53,65,65,83,83,90,90,98,98,73,73,57,57,96,96,83,83,67,67
1050,63,61,54,51,50,46,41,38,35,31,18,15,15,15,56,0,15,15,21,21,36,36,50,50,62,62,86,86,93,93,101,101,76,76,60,60,99,99,86,86,70,70
1060,63,61,60,57,50,46,46,44,35,31,24,20,15,15,15,15,0,15,15,27,27,41,41,57,57,83,83,92,92,103,103,103,103,80,80,107,107,93,93,80,80,66
1070,72,70,60,57,59,55,46,44,44,40,24,20,20,16,15,15,15,0,66,21,21,35,35,51,51,90,90,99,99,110,110,110,110,86,86,113,113,100,100,86,86,72
1080,72,70,78,75,59,55,65,62,44,40,42,38,20,16,24,21,15,66,0,72,15,15,29,29,41,41,107,107,114,114,122,122,97,97,81,81,120,120,107,107,91,91
1090,92,91,78,75,80,75,65,62,65,60,42,38,41,37,24,21,27,21,72,0,15,15,20,20,33,33,115,115,122,122,130,130,106,106,89,89,128,128,116,116,100,100
1100,92,91,93,89,80,75,79,77,65,60,57,53,41,37,39,36,27,21,15,15,0,15,15,24,24,116,116,125,125,136,136,136,136,113,113,140,140,126,126,113,113,99
1110,107,105,93,89,94,90,79,77,79,75,57,53,55,51,39,36,41,35,15,15,15,0,99,16,16,125,125,134,134,145,145,145,145,121,121,148,148,135,135,121,121,107
1120,107,105,107,104,94,90,93,91,79,75,71,67,55,51,53,50,41,35,29,20,15,99,0,107,15,15,136,136,143,143,151,151,126,126,110,110,148,148,136,136,120,120
1130,122,121,107,104,110,105,93,91,95,91,71,67,71,67,53,50,57,51,29,20,24,16,107,0,15,15,145,145,152,152,160,160,136,136,119,119,158,158,146,146,130,130
1140,122,121,120,116,110,105,106,104,95,91,84,80,71,67,65,62,57,51,41,33,24,16,15,15,0,143,143,152,152,163,163,163,163,140,140,166,166,153,153,139,139,125
7330,29,27,120,116,31,35,106,104,46,50,84,80,70,73,65,62,83,90,41,33,116,125,15,15,143,0,125,15,15,20,20,20,20,17,17,23,23,15,15,15,15,18
7331,29,27,28,32,31,35,42,44,46,50,64,68,70,73,83,86,83,90,107,115,116,125,136,145,143,125,0,18,15,15,15,15,21,21,26,26,23,23,15,15,15,15
7332,38,36,28,32,40,44,42,44,55,59,64,68,79,82,83,86,92,99,107,115,125,134,136,145,152,15,18,0,15,15,15,15,30,30,30,30,27,27,14,14,19,19
7333,38,36,35,39,40,44,49,51,55,59,71,75,79,82,90,93,92,99,114,122,125,134,143,152,152,15,15,15,0,15,15,15,15,30,30,35,35,22,22,16,16,30
7334,49,47,35,39,51,55,49,51,66,70,71,75,90,93,90,93,103,110,114,122,136,145,143,152,163,20,15,15,15,0,30,15,15,35,35,43,43,30,30,24,24,38
7335,49,47,43,47,51,55,57,59,66,70,79,83,90,93,98,101,103,110,122,130,136,145,151,160,163,20,15,15,15,30,0,38,35,35,41,41,38,38,25,25,30,30
7336,49,47,43,47,51,55,57,59,66,70,79,83,90,93,98,101,103,110,122,130,136,145,151,160,163,20,15,15,15,15,38,0,40,40,41,41,38,38,25,25,30,30
7361,49,47,19,22,51,55,33,35,66,70,55,59,90,93,73,76,103,110,97,106,136,145,126,136,163,20,21,30,15,15,35,40,0,15,15,40,40,26,26,15,15,15
7362,25,23,19,22,27,32,33,35,42,47,55,59,66,70,73,76,80,86,97,106,113,121,126,136,140,17,21,30,30,35,35,40,15,0,15,41,41,27,27,15,15,15
7390,25,23,15,15,27,32,16,18,42,47,38,42,66,70,57,60,80,86,81,89,113,121,110,119,140,17,26,30,30,35,41,41,15,15,0,15,39,39,26,26,15,15
7290,52,50,15,15,54,58,16,18,69,73,38,42,93,97,57,60,107,113,81,89,140,148,110,119,166,23,26,30,35,43,41,41,40,41,15,0,15,15,18,18,34,34
